Filename                                                     Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
common/htlc_trim.c                                                12                 1    91.67%           2                 0   100.00%          18                 1    94.44%           6                 1    83.33%
common/htlc_tx.c                                                  24                10    58.33%           7                 2    71.43%          95                29    69.47%           6                 2    66.67%
common/htlc_tx.h                                                  20                 1    95.00%           2                 0   100.00%          44                23    47.73%           8                 1    87.50%
common/htlc_wire.c                                               118                23    80.51%          21                 0   100.00%         222                32    85.59%          38                11    71.05%
common/initial_commit_tx.h                                         7                 0   100.00%           2                 0   100.00%          37                16    56.76%           4                 0   100.00%
common/invoice_path_id.c                                           8                 0   100.00%           1                 0   100.00%           9                 0   100.00%           0                 0         -
common/json_command.h                                              1                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
common/json_filter.c                                             140                19    86.43%          12                 0   100.00%         150                17    88.67%          60                13    78.33%
common/json_param.c                                              549                52    90.53%          55                 0   100.00%         704               135    80.82%         240                57    76.25%
common/json_parse.c                                              315                50    84.13%          40                 0   100.00%         436                46    89.45%         154                50    67.53%
common/json_parse_simple.c                                       232                33    85.78%          30                 1    96.67%         301                47    84.39%         140                46    67.14%
common/json_stream.c                                             170                16    90.59%          59                 0   100.00%         401                49    87.78%          78                17    78.21%
common/key_derive.c                                               40                 8    80.00%           4                 0   100.00%          72                 8    88.89%          16                 8    50.00%
common/keyset.c                                                   22                 6    72.73%           1                 0   100.00%          29                 6    79.31%          14                 6    57.14%
common/lease_rates.c                                              46                32    30.43%           8                 5    37.50%          75                52    30.67%          16                12    25.00%
common/memleak.c                                                 211                32    84.83%          28                 3    89.29%         240                44    81.67%          96                26    72.92%
common/msg_queue.c                                                38                 0   100.00%           8                 0   100.00%          46                 0   100.00%           6                 0   100.00%
common/node_id.c                                                  20                 1    95.00%           8                 0   100.00%          35                 1    97.14%           6                 2    66.67%
common/node_id.h                                                   4                 1    75.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
common/onion_decode.c                                            165                68    58.79%           6                 3    50.00%         211               109    48.34%          92                48    47.83%
common/onion_encode.c                                             46                 9    80.43%           4                 0   100.00%          52                 3    94.23%          14                 5    64.29%
